recv_time_ms,snapshot_id,seq_num,server_ts,latency_ms,jitter_ms
1765313836406,1238,1238,1765313836406,0,53
1765313836459,1239,1239,1765313836458,1,52
1765313836513,1240,1240,1765313836513,0,54
1765313836567,1241,1241,1765313836566,1,53
1765313836621,1242,1242,1765313836621,0,54
1765313836675,1243,1243,1765313836674,1,53
1765313836727,1244,1244,1765313836726,1,51
1765313836781,1245,1245,1765313836781,0,54
1765313836836,1246,1246,1765313836835,1,54
1765313836891,1247,1247,1765313836890,1,54
1765313836946,1248,1248,1765313836945,1,54
1765313837000,1249,1249,1765313837000,0,54
1765313837054,1250,1250,1765313837054,0,54
1765313837104,1251,1251,1765313837104,0,50
1765313837159,1252,1252,1765313837159,0,55
1765313837214,1253,1253,1765313837214,0,55
1765313837267,1254,1254,1765313837266,1,52
1765313837322,1255,1255,1765313837322,0,55
1765313837377,1256,1256,1765313837377,0,55
1765313837429,1257,1257,1765313837429,0,52
1765313837483,1258,1258,1765313837483,0,54
1765313837535,1259,1259,1765313837534,1,51
1765313837587,1260,1260,1765313837586,1,51
1765313837637,1261,1261,1765313837637,0,50
1765313837692,1262,1262,1765313837692,0,55
1765313837747,1263,1263,1765313837746,1,54
1765313837802,1264,1264,1765313837802,0,55
1765313837857,1265,1265,1765313837857,0,55
1765313837912,1266,1266,1765313837912,0,55
1765313837962,1267,1267,1765313837962,0,50
1765313838017,1268,1268,1765313838017,0,55
1765313838072,1269,1269,1765313838072,0,55
1765313838123,1270,1270,1765313838123,0,51
1765313838178,1271,1271,1765313838178,0,55
1765313838233,1272,1272,1765313838233,0,55
1765313838288,1273,1273,1765313838288,0,55
1765313838339,1274,1274,1765313838339,0,51
1765313838392,1275,1275,1765313838392,0,53
1765313838446,1276,1276,1765313838446,0,54
1765313838501,1277,1277,1765313838501,0,55
1765313838556,1278,1278,1765313838556,0,55
1765313838611,1279,1279,1765313838611,0,55
1765313838663,1280,1280,1765313838662,1,51
1765313838717,1281,1281,1765313838717,0,54
1765313838770,1282,1282,1765313838770,0,53
1765313838822,1283,1283,1765313838821,1,51
1765313838877,1284,1284,1765313838876,1,54
1765313838932,1285,1285,1765313838931,1,54
1765313838987,1286,1286,1765313838986,1,54
1765313839037,1287,1287,1765313839037,0,50
1765313839091,1288,1288,1765313839091,0,54
1765313839144,1289,1289,1765313839144,0,53
1765313839199,1290,1290,1765313839199,0,55
1765313839251,1291,1291,1765313839250,1,51
1765313839306,1292,1292,1765313839305,1,54
1765313839361,1293,1293,1765313839360,1,54
1765313839413,1294,1294,1765313839413,0,52
1765313839468,1295,1295,1765313839468,0,55
1765313839522,1296,1296,1765313839522,0,54
1765313839575,1297,1297,1765313839575,0,53
1765313839629,1298,1298,1765313839629,0,54
1765313839683,1299,1299,1765313839683,0,54
1765313839738,1300,1300,1765313839737,1,54
1765313839793,1301,1301,1765313839793,0,55
1765313839844,1302,1302,1765313839843,1,50
1765313839899,1303,1303,1765313839898,1,54
1765313839954,1304,1304,1765313839953,1,54
1765313840009,1305,1305,1765313840008,1,54
1765313840063,1306,1306,1765313840062,1,53
1765313840113,1307,1307,1765313840113,0,50
1765313840168,1308,1308,1765313840168,0,55
1765313840223,1309,1309,1765313840223,0,55
1765313840279,1310,1310,1765313840278,1,55
1765313840334,1311,1311,1765313840333,1,54
1765313840389,1312,1312,1765313840388,1,54
1765313840443,1313,1313,1765313840443,0,54
1765313840496,1314,1314,1765313840495,1,52
1765313840551,1315,1315,1765313840550,1,54
1765313840606,1316,1316,1765313840605,1,54
1765313840660,1317,1317,1765313840660,0,54
1765313840711,1318,1318,1765313840711,0,51
1765313840765,1319,1319,1765313840764,1,53
1765313840815,1320,1320,1765313840815,0,50
1765313840866,1321,1321,1765313840866,0,51
1765313840919,1322,1322,1765313840919,0,53
1765313840973,1323,1323,1765313840973,0,54
1765313841029,1324,1324,1765313841028,1,55
1765313841083,1325,1325,1765313841083,0,54
1765313841137,1326,1326,1765313841137,0,54
1765313841193,1327,1327,1765313841192,1,55
1765313841245,1328,1328,1765313841245,0,52
1765313841299,1329,1329,1765313841298,1,53
1765313841352,1330,1330,1765313841351,1,52
1765313841404,1331,1331,1765313841403,1,51
1765313841455,1332,1332,1765313841455,0,51
1765313841510,1333,1333,1765313841510,0,55
1765313841564,1334,1334,1765313841564,0,54
1765313841617,1335,1335,1765313841617,0,53
1765313841669,1336,1336,1765313841669,0,52
1765313841719,1337,1337,1765313841719,0,50
1765313841770,1338,1338,1765313841770,0,51
1765313841825,1339,1339,1765313841825,0,55
1765313841880,1340,1340,1765313841880,0,55
1765313841935,1341,1341,1765313841935,0,55
1765313841990,1342,1342,1765313841990,0,55
1765313842042,1343,1343,1765313842042,0,52
1765313842095,1344,1344,1765313842095,0,53
1765313842150,1345,1345,1765313842149,1,54
1765313842201,1346,1346,1765313842200,1,50
1765313842252,1347,1347,1765313842251,1,50
1765313842305,1348,1348,1765313842304,1,52
1765313842358,1349,1349,1765313842358,0,53
