recv_time_ms,snapshot_id,grid_state
1765313894972,2329,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895024,2330,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895080,2331,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895130,2332,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895184,2333,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895239,2334,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895294,2335,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895346,2336,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895401,2337,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895454,2338,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895505,2339,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895560,2340,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895615,2341,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
